[Header]\r\n2018-09-12 16:00:09,605 [1] INFO  CSV_Processor.Program Started: 12/09/2018 4:00:09 PM
2018-09-12 16:00:12,774 [1] INFO  CSV_Processor.Program Completed: 12/09/2018 4:00:12 PM
[Footer]\r\n[Header]\r\n2018-09-12 16:07:10,328 [1] INFO  CSV_Processor.Program Started: 12/09/2018 4:07:10 PM
2018-09-12 16:07:15,043 [1] INFO  CSV_Processor.Program Exception occured: String was not recognized as a valid Boolean.
2018-09-12 16:07:15,043 [1] INFO  CSV_Processor.Program Line Cnt: 0
2018-09-12 16:07:15,043 [1] INFO  CSV_Processor.Program Line : 214667141,214667141,ED071500133,01/09/2015 04:00:12,Export Wh Total,0.150000,0.012000,30/12/1899 00:00:00,kwh,.....R....,Total,False,2,01/09/2015 00:00:00,Unified
[Header]\r\n2018-09-12 16:13:09,830 [1] INFO  CSV_Processor.Program Started: 12/09/2018 4:13:09 PM
[Footer]\r\n[Header]\r\n2018-09-12 16:15:53,883 [1] INFO  CSV_Processor.Program Started: 12/09/2018 4:15:53 PM
2018-09-12 16:16:14,604 [1] INFO  CSV_Processor.Program Completed: 12/09/2018 4:16:14 PM
[Footer]\r\n[Header]\r\n2018-09-12 16:19:44,824 [1] INFO  CSV_Processor.Program Started: 12/09/2018 4:19:44 PM
[Footer]\r\n[Header]\r\n2018-09-12 16:20:45,743 [1] INFO  CSV_Processor.Program Started: 12/09/2018 4:20:45 PM
2018-09-12 16:20:55,002 [1] ERROR CSV_Processor.Program Expected number of columns don't match. Please verify.
2018-09-12 16:21:07,484 [1] INFO  CSV_Processor.Program Completed: 12/09/2018 4:21:07 PM
[Footer]\r\n[Header]\r\n2018-09-12 16:21:48,776 [1] INFO  CSV_Processor.Program Started: 12/09/2018 4:21:48 PM
2018-09-12 16:21:48,840 [1] INFO  CSV_Processor.Program Completed: 12/09/2018 4:21:48 PM
[Footer]\r\n[Header]\r\n2018-09-12 16:23:30,691 [1] INFO  CSV_Processor.Program Started: 12/09/2018 4:23:30 PM
[Footer]\r\n[Header]\r\n2018-09-12 16:27:03,341 [1] INFO  CSV_Processor.Program Started: 12/09/2018 4:27:03 PM
2018-09-12 22:05:15,844 [1] INFO  CSV_Processor.Program Completed: 12/09/2018 10:05:15 PM
[Footer]\r\n[Header]\r\n2018-09-12 23:50:54,533 [1] INFO  CSV_Processor.Program Started: 12/09/2018 11:50:54 PM
[Footer]\r\n[Header]\r\n2018-09-12 23:52:13,696 [1] INFO  CSV_Processor.Program Started: 12/09/2018 11:52:13 PM
[Footer]\r\n[Header]\r\n2018-09-12 23:54:12,533 [1] INFO  CSV_Processor.Program Started: 12/09/2018 11:54:12 PM
[Footer]\r\n[Header]\r\n2018-09-12 23:55:54,906 [1] INFO  CSV_Processor.Program Started: 12/09/2018 11:55:54 PM
[Footer]\r\n[Header]\r\n2018-09-13 00:01:20,353 [1] INFO  CSV_Processor.Program Started: 13/09/2018 12:01:20 AM
